,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pose
0,1696646.9156253836,1844263.4078989774,1971359.9167623403,1933398.8052372113,1685678.077527659,1742560.1451059156,1409736.2432711483,1201618.836990812,1.0
1,1691723.2874647733,1838906.6536369266,1965630.9344459546,1927782.6870066246,1680792.8861049537,1737508.7511722313,1405667.3875762918,1198161.4113705775,1.0
2,1552992.207902802,1688106.4382609497,1804436.398124218,1769688.7732718769,1542944.1896032388,1595006.6622523842,1290358.46644941,1099867.6288704833,1.0
3,1396799.214608554,1518310.3980713899,1622926.877481158,1591677.287914361,1387758.6664254693,1434578.3775761186,1160590.2592805477,989276.9284426143,1.0
4,1374159.15008786,1493691.9550883502,1596606.7596308577,1565867.8721911472,1365273.6142490688,1411332.191303113,1141812.244434814,973288.1024711251,1.0
5,1348100.9521362304,1465371.5454908006,1566340.2488242264,1536184.4828045426,1339389.626464384,1384577.1497074028,1120164.3771671462,954829.8261167456,1.0
6,1337635.5975767707,1454004.4942478773,1554197.0663143059,1524273.1456676736,1328990.9914738399,1373830.5556558634,1111451.4586196262,947388.3856018422,1.0
7,1351148.6929529535,1468683.9934560924,1569880.9531624592,1539657.3103230586,1342418.449296052,1387707.6935708371,1122698.142791311,956989.9241460866,1.0
8,1362774.3918557847,1481313.8439250826,1583375.9659726245,1552895.0690856026,1353973.62546233,1399650.3284895082,1132380.6293743327,965256.3594482524,1.0
9,1376747.2044616272,1496487.0271063866,1599584.4391030255,1568798.3203659179,1367872.148781458,1414013.5137183815,1144051.970118483,975236.194430528,1.0
10,1387196.3342176538,1507840.3527758778,1611718.3372166832,1580702.2176836987,1378266.656510973,1424758.3022236214,1152772.5962764018,982683.4376767223,1.0
11,1396844.9981056426,1518342.4378885305,1622955.767311798,1591719.6935686893,1387851.90244873,1434672.0756042933,1160765.879982388,989474.485430761,1.0
12,1393393.292369176,1514624.6172169663,1619006.587532402,1587834.525933897,1384402.8551812458,1431116.8036871157,1157797.1810527518,986881.3825089155,1.0
13,1392051.1801429954,1513194.5429952277,1617497.472910815,1586342.5406199868,1383043.9265925784,1429719.424324157,1156575.7111694491,985782.808968453,1.0
